letters,v,e,j,n, ,b,d,t,i,l,s,r,o,g,m,y,f,a,k,u,h,p,c,w,z,x,q
v,0.001,0.017,0.001,0.003,0.052,0,0.003,0.006,0.027,0.021,0.019,0.009,0.061,0.003,0.002,0.025,0.002,0.041,0.011,0.004,0.078,0.001,0,0,0,0,0
e,0.315,0.001,0.334,0.121,0.044,0.252,0.56,0.226,0.018,0.198,0.108,0.155,0.008,0.249,0.294,0.068,0.024,0.009,0.29,0.033,0.151,0.131,0.073,0.405,0.085,0.997,0
j,0,0.011,0,0.002,0.011,0.005,0.001,0.003,0,0.001,0.001,0.001,0,0.006,0.001,0,0.016,0.001,0.002,0.001,0.027,0.002,0,0,0,0,0
n,0.017,0.212,0.057,0.017,0.024,0.017,0.008,0.004,0.146,0.001,0.016,0.04,0.033,0.015,0.002,0.177,0.001,0.198,0.022,0.259,0.001,0.001,0,0.095,0,0,0
 ,0.084,0.282,0.052,0.383,0.02,0.054,0.19,0.39,0.132,0.156,0.119,0.331,0.027,0.391,0.234,0.03,0.122,0.121,0.094,0.098,0.005,0.121,0.004,0.143,0.032,0,0
b,0,0.005,0.002,0.003,0.036,0.004,0.003,0.002,0.005,0.007,0.002,0.007,0.01,0.003,0.003,0.043,0.004,0.013,0.001,0.01,0,0,0,0,0,0,0
d,0.066,0.096,0.009,0.178,0.086,0,0.011,0.003,0.082,0.087,0.002,0.039,0.065,0.018,0.003,0.099,0.002,0.034,0.001,0.179,0,0.005,0,0,0,0,0
t,0.006,0.093,0.025,0.018,0.042,0.023,0.053,0.049,0.019,0.033,0.203,0.048,0.02,0.08,0.021,0.049,0.113,0.058,0.021,0.016,0.001,0.007,0,0,0,0.003,0
i,0.145,0.002,0,0.016,0.054,0.034,0.02,0.101,0,0.116,0.126,0.052,0,0.027,0.109,0,0.048,0,0.027,0.002,0.022,0.073,0.113,0.143,0.021,0,0
l,0.01,0.06,0.037,0.005,0.033,0.221,0.005,0.003,0.127,0.069,0.03,0.015,0.051,0.02,0.022,0.056,0.043,0.059,0.029,0.105,0.001,0.05,0.055,0,0,0,0
s,0.01,0.029,0.053,0.052,0.133,0.005,0.028,0.013,0.04,0.038,0.011,0.041,0.012,0.025,0.012,0.183,0.009,0.016,0.014,0.094,0,0.017,0,0,0,0,0
r,0.009,0.131,0.042,0.002,0.016,0.102,0.024,0.04,0.013,0.001,0.001,0.012,0.203,0.034,0.006,0.069,0.126,0.117,0.042,0.051,0.004,0.053,0,0,0,0,0
o,0.04,0.001,0.149,0.016,0.07,0.056,0.007,0.046,0.002,0.035,0.062,0.026,0,0.01,0.039,0.001,0.254,0,0.103,0.002,0.051,0.029,0.04,0.048,0.021,0,0
g,0,0.016,0.002,0.087,0.029,0,0.001,0.001,0.224,0.009,0.002,0.018,0.283,0.017,0.001,0.092,0.002,0.048,0,0.032,0,0.005,0,0,0,0,0
m,0.001,0.021,0.001,0.005,0.056,0.002,0.002,0.005,0.019,0.01,0.016,0.017,0.153,0.003,0.088,0.008,0.002,0.045,0.001,0.04,0.001,0.003,0,0,0,0,0
y,0,0,0.01,0.003,0.001,0.03,0.005,0.01,0,0.029,0.011,0.016,0,0.007,0.002,0,0.009,0,0.014,0,0.006,0.003,0,0,0,0,0
f,0.002,0.01,0.002,0.005,0.05,0,0.002,0.003,0.005,0.004,0.003,0.006,0.004,0.003,0.005,0.002,0.01,0.039,0.001,0.027,0,0.002,0,0,0,0,0
a,0.233,0.002,0.096,0.027,0.052,0.103,0.044,0.041,0.007,0.088,0.112,0.07,0,0.055,0.083,0,0.101,0.161,0.052,0.005,0.512,0.363,0.095,0.167,0.83,0,0
k,0.001,0.003,0,0.017,0.035,0,0.002,0.002,0.126,0.01,0.096,0.024,0.016,0.002,0.004,0.091,0.001,0.016,0.184,0.025,0,0.001,0.058,0,0,0,0
u,0.004,0.001,0.03,0.019,0.018,0.025,0.01,0.014,0.001,0.027,0.01,0.022,0,0.011,0.021,0,0.033,0.001,0.059,0,0.065,0.038,0.004,0,0,0,1
h,0.001,0.005,0,0.006,0.107,0,0.004,0.014,0.003,0.003,0.003,0.006,0.002,0.013,0.005,0,0.001,0.002,0.003,0.005,0,0.007,0.56,0,0,0,0
p,0,0.001,0,0.001,0.022,0,0.001,0.001,0.002,0.002,0.027,0.003,0.048,0.001,0.01,0.006,0,0.005,0,0.003,0,0.067,0,0,0,0,0
c,0,0,0,0,0.001,0,0,0,0.002,0,0.001,0.001,0.001,0,0,0,0,0.003,0,0.006,0,0,0,0,0,0,0
w,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0.001,0,0,0,0,0,0,0,0,0.011,0,0
z,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0
x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013,0,0,0,0,0,0,0,0,0
q,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
