letters,n,a,u,w,e,l,i,j,k,s, ,v,r,c,h,t,o,d,f,g,m,z,p,b,x,y,q
n,0.023,0.245,0.055,0,0.234,0.001,0.201,0.243,0.004,0.004,0.034,0,0.011,0,0.001,0.001,0.148,0.001,0.002,0.008,0,0,0.002,0,0,0,0
a,0.029,0.213,0.002,0.225,0.001,0.079,0.002,0.016,0.033,0.008,0.039,0.251,0.061,0.008,0.078,0.035,0.002,0.088,0.302,0.035,0.187,0.071,0.065,0.072,0.143,0.036,0
u,0.007,0.047,0.056,0.023,0.01,0.027,0.001,0.008,0.027,0.003,0.01,0.01,0.018,0.003,0.018,0.022,0.029,0.012,0.004,0.004,0.012,0.014,0.03,0.017,0,0,1
w,0.007,0,0.115,0,0.009,0.002,0,0.001,0.014,0.005,0.06,0,0.028,0,0,0.011,0.001,0.005,0.005,0.003,0.002,0.016,0.01,0,0,0,0
e,0.053,0.002,0.006,0.392,0.081,0.199,0.149,0.023,0.315,0.027,0.07,0.45,0.146,0.018,0.498,0.185,0.1,0.488,0.097,0.464,0.408,0.346,0.241,0.561,0.286,0.018,0
l,0.006,0.085,0.041,0.001,0.073,0.048,0.018,0.022,0.056,0.026,0.019,0.015,0.028,0.001,0.001,0.003,0.041,0.001,0.008,0.007,0.001,0,0.057,0.078,0,0.018,0
i,0.058,0.002,0.181,0.206,0.04,0.222,0.002,0.001,0.037,0.016,0.062,0.037,0.062,0.008,0.099,0.043,0.005,0.107,0.119,0.051,0.08,0.429,0.058,0.1,0,0,0
j,0,0,0,0,0,0,0.235,0,0,0.001,0.002,0,0.001,0,0,0.001,0,0,0,0.001,0,0,0,0.002,0,0,0
k,0.011,0.016,0.027,0,0.014,0.02,0.019,0.253,0.031,0.006,0.02,0,0.036,0.002,0.001,0.007,0.017,0,0.004,0.001,0.001,0,0.001,0,0,0,0
s,0.066,0.022,0.243,0.01,0.029,0.052,0.125,0.025,0.022,0.018,0.025,0,0.06,0,0,0.034,0.012,0.023,0.024,0.018,0.01,0.001,0.013,0.008,0,0.345,0
 ,0.457,0.013,0.053,0.022,0.153,0.105,0.004,0.268,0.203,0.303,0,0.001,0.253,0,0.075,0.473,0.023,0.151,0.135,0.21,0.108,0,0.212,0.005,0.286,0.018,0
v,0.007,0.005,0.002,0,0.025,0.011,0.003,0.008,0.004,0.007,0.079,0,0.017,0,0.001,0.006,0.03,0.001,0.005,0.004,0.005,0,0.014,0,0,0,0
r,0.002,0.131,0.079,0.003,0.13,0.001,0.002,0,0.039,0.002,0.009,0.047,0.005,0.003,0.009,0.031,0.137,0.023,0.005,0.063,0.001,0,0.079,0.056,0,0.073,0
c,0.001,0.041,0.021,0,0.004,0,0.043,0,0,0.166,0.001,0,0.003,0,0,0.002,0.014,0,0,0,0,0,0,0,0.143,0.055,0
h,0.01,0,0.001,0,0.006,0.004,0,0.009,0.041,0.007,0.088,0,0.018,0.955,0.003,0.018,0,0.007,0.006,0.019,0.01,0,0.011,0,0,0,0
t,0.039,0.084,0.015,0.003,0.077,0.03,0.048,0.008,0.082,0.308,0.038,0,0.042,0.002,0.135,0.009,0.048,0.023,0.181,0.037,0.025,0,0.067,0.004,0,0.2,0
o,0.017,0.001,0,0.106,0.002,0.051,0.002,0.005,0.068,0.016,0.055,0.187,0.054,0.001,0.07,0.072,0.199,0.045,0.006,0.033,0.078,0.12,0.058,0.072,0,0,0
d,0.093,0.022,0.054,0.005,0.026,0.084,0.063,0.041,0.007,0.016,0.153,0,0.072,0,0.001,0.011,0.028,0.012,0.056,0.028,0.017,0,0.003,0,0,0,0
f,0.002,0.011,0.002,0,0.017,0.032,0.002,0.019,0,0.003,0.018,0,0.003,0,0,0.001,0.025,0,0.009,0.001,0.002,0,0.001,0,0,0,0
g,0.081,0.024,0.031,0.001,0.022,0.02,0.065,0.008,0.002,0.005,0.053,0,0.026,0,0,0.011,0.039,0.004,0.014,0.006,0.007,0,0.018,0,0,0.036,0
m,0.006,0.016,0.004,0.001,0.016,0.004,0.007,0.003,0.003,0.013,0.052,0,0.02,0,0.002,0.004,0.048,0.001,0.002,0.003,0.016,0,0.001,0,0,0.145,0
z,0.012,0.002,0.007,0.001,0.016,0.002,0.004,0.018,0.008,0.004,0.066,0,0.01,0,0.007,0.008,0.006,0.002,0.006,0.002,0.005,0,0.013,0,0,0,0
p,0.001,0.014,0.001,0,0.008,0.004,0.003,0.02,0,0.025,0.008,0,0.007,0,0,0.001,0.045,0.001,0,0.001,0.006,0,0.038,0,0.143,0.055,0
b,0.011,0.003,0.002,0,0.006,0.002,0,0.002,0.004,0.006,0.038,0,0.018,0,0.001,0.009,0,0.002,0.009,0.002,0.004,0,0.006,0.026,0,0,0
x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
y,0,0,0.001,0,0,0,0,0,0,0.003,0,0,0,0.001,0,0.001,0,0,0,0,0.012,0,0.002,0,0,0,0
q,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
