letters, ,a,l,i,c,e,s,d,v,n,t,u,r,w,o,h,m,f,p,b,g,y,k,q,j,x,z,
 ,0.148,0.071,0.135,0.051,0.003,0.393,0.319,0.607,0.002,0.239,0.286,0.099,0.256,0.125,0.15,0.084,0.15,0.392,0.122,0.003,0.382,0.58,0.307,0.005,0,0.101,0,
a,0.109,0,0.067,0.005,0.13,0.059,0.102,0.022,0.022,0.015,0.026,0.007,0.053,0.219,0.003,0.156,0.149,0.057,0.081,0.054,0.088,0.01,0.012,0,0.041,0.081,0.09,
l,0.023,0.107,0.145,0.046,0.028,0.034,0.012,0.014,0,0.013,0.028,0.097,0.009,0.012,0.021,0.001,0,0.018,0.115,0.071,0.024,0.004,0.02,0,0,0,0.179,
i,0.065,0.081,0.182,0.001,0.013,0.008,0.041,0.049,0.071,0.025,0.045,0.023,0.067,0.138,0.016,0.106,0.083,0.084,0.086,0.075,0.034,0.024,0.184,0,0,0.155,0.128,
c,0.029,0.018,0.001,0.08,0.007,0.011,0.005,0.001,0,0.025,0.005,0.049,0.01,0,0.012,0,0,0.001,0.001,0,0,0.003,0,0,0.007,0.088,0,
e,0.012,0,0.156,0.026,0.294,0.036,0.121,0.09,0.825,0.079,0.071,0.047,0.212,0.13,0.006,0.512,0.276,0.075,0.187,0.355,0.113,0.045,0.314,0,0.137,0.162,0.397,
s,0.082,0.103,0.012,0.078,0,0.049,0.031,0.021,0,0.021,0.027,0.122,0.066,0.009,0.017,0.001,0.014,0.003,0.021,0.019,0.028,0.021,0.017,0,0,0,0,
d,0.026,0.051,0.071,0.094,0,0.071,0.001,0.013,0,0.181,0.001,0.018,0.033,0.004,0.013,0,0.001,0.001,0.001,0.001,0.002,0.004,0.001,0,0,0,0,
v,0.008,0.019,0.003,0.013,0,0.015,0,0.004,0,0.003,0,0.002,0.001,0,0.011,0,0,0,0.001,0,0,0,0.001,0,0,0,0,
n,0.019,0.183,0,0.27,0,0.07,0.009,0.012,0,0.007,0.001,0.071,0.016,0.052,0.13,0.001,0.008,0,0,0,0.005,0.004,0.119,0,0,0,0,
t,0.144,0.133,0.012,0.177,0.031,0.027,0.097,0.009,0,0.099,0.035,0.17,0.048,0.001,0.053,0.031,0,0.044,0.038,0.005,0.004,0.023,0.009,0,0,0.257,0,
u,0.008,0.009,0.003,0,0.043,0,0.025,0.013,0.001,0.008,0.018,0,0.015,0,0.192,0.008,0.059,0.048,0.046,0.138,0.017,0,0.003,0.995,0.699,0,0,
r,0.016,0.08,0.001,0.028,0.045,0.135,0.001,0.018,0,0.001,0.015,0.151,0.016,0.012,0.083,0.011,0,0.042,0.058,0.04,0.081,0.008,0.001,0,0,0,0,
w,0.06,0.009,0.003,0,0,0.006,0.006,0.003,0,0.002,0.009,0.001,0.004,0.001,0.067,0.001,0,0.002,0,0,0.002,0.006,0,0,0,0,0,
o,0.047,0,0.068,0.023,0.142,0.004,0.066,0.09,0.074,0.078,0.095,0.002,0.065,0.101,0.056,0.078,0.149,0.161,0.115,0.138,0.081,0.22,0.003,0,0.116,0,0,
h,0.051,0.003,0.001,0,0.188,0.004,0.133,0.004,0,0.002,0.327,0,0.006,0.19,0.007,0.001,0,0.001,0.04,0,0.124,0.002,0,0,0,0,0,
m,0.029,0.022,0.002,0.038,0,0.02,0.005,0.002,0,0,0.002,0.015,0.014,0,0.036,0.001,0.008,0.001,0,0.001,0.001,0.005,0,0,0,0,0,
f,0.024,0.007,0.031,0.021,0,0.006,0,0.004,0,0.003,0.002,0.002,0.003,0.002,0.077,0,0.005,0.061,0,0,0,0.003,0.001,0,0,0,0,
p,0.016,0.014,0.003,0.002,0,0.011,0.013,0,0,0.001,0,0.061,0.013,0.001,0.013,0,0.036,0.001,0.075,0,0.002,0.026,0,0,0,0.155,0,
b,0.031,0.025,0.001,0.002,0,0.003,0.002,0.004,0,0.001,0.001,0.009,0.001,0.001,0.005,0.001,0.029,0.001,0.003,0.045,0.001,0.009,0,0,0,0,0,
g,0.018,0.019,0,0.028,0,0.01,0.001,0.008,0,0.163,0.001,0.05,0.012,0,0.005,0,0,0,0,0,0.008,0.001,0,0,0,0,0,
y,0.018,0.029,0.093,0,0.003,0.016,0.002,0.01,0.004,0.013,0.006,0,0.068,0,0.001,0.006,0.033,0.002,0.01,0.051,0.001,0.001,0.008,0,0,0,0.026,
k,0.009,0.014,0.013,0.013,0.074,0.001,0.007,0,0,0.016,0,0.001,0.011,0,0.026,0,0,0,0,0,0,0,0,0,0,0,0,
q,0.006,0,0,0,0,0.001,0.001,0.001,0,0.001,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,
j,0.004,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0,0,0.001,0,0,0,0,
x,0,0,0,0.001,0,0.008,0,0,0,0.002,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,
z,0,0.001,0,0.003,0,0.001,0,0,0,0,0,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.179,
