letters,m,e,b,r, ,d,u,a,p,i,s,x,n,t,l,o,c,h,z,v,q,j,g,f,y,k,w
m,0.123,0.038,0,0.018,0.042,0.001,0.011,0.026,0,0.017,0.004,0.01,0.002,0.002,0.002,0.082,0,0.001,0.047,0,0,0,0.001,0,0.012,0,0
e,0.274,0.004,0.107,0.241,0.072,0.451,0.107,0,0.132,0.107,0.131,0.038,0.118,0.136,0.35,0.005,0.188,0.308,0.087,0.284,0,0.343,0.291,0.125,0.164,0.25,0
b,0.049,0.002,0.002,0.005,0.029,0,0.008,0.019,0,0.006,0.002,0.005,0.001,0.001,0.001,0.009,0,0,0.003,0,0,0,0,0,0,0,0
r,0,0.064,0.133,0.027,0.032,0.033,0.175,0.098,0.125,0.069,0.001,0.004,0.001,0.078,0.001,0.084,0.043,0.009,0.003,0.056,0,0,0.134,0.081,0.015,0,0
 ,0.018,0.351,0.002,0.176,0.001,0.039,0.084,0.13,0.017,0.079,0.447,0.646,0.204,0.423,0.086,0.001,0.046,0.045,0.583,0,0.006,0,0.023,0.012,0.358,0,0
d,0,0.006,0,0.031,0.126,0.001,0.012,0.013,0,0.013,0.006,0.007,0.073,0.005,0.001,0.01,0.001,0,0.01,0,0,0,0.001,0,0.003,0,0
u,0.019,0.048,0.022,0.016,0.021,0.086,0.003,0.073,0.039,0,0.036,0.002,0.014,0.021,0.056,0.29,0.034,0.027,0.006,0.009,0.994,0.153,0.1,0.062,0.001,0,0
a,0.23,0.012,0.148,0.099,0.049,0.145,0.028,0,0.231,0.012,0.088,0.047,0.048,0.09,0.194,0,0.079,0.335,0.024,0.286,0,0.184,0.136,0.214,0.218,0.188,0.6
p,0.059,0.009,0,0.004,0.079,0,0.016,0.026,0.037,0.004,0.013,0.052,0.002,0.003,0.005,0.009,0,0,0.006,0,0,0,0,0,0.014,0,0
i,0.074,0.011,0.124,0.073,0.024,0.09,0.122,0.235,0.044,0.001,0.048,0.051,0.026,0.072,0.046,0.11,0.061,0.069,0.006,0.14,0,0.004,0.053,0.155,0.002,0.313,0.2
s,0.001,0.154,0.012,0.054,0.09,0.012,0.093,0.046,0.016,0.128,0.06,0.007,0.096,0.025,0.015,0.028,0.007,0,0.004,0,0,0,0.006,0.007,0.054,0,0
x,0,0.006,0,0,0,0,0.042,0,0,0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
n,0.001,0.13,0,0.014,0.022,0,0.099,0.142,0,0.098,0.001,0.002,0.027,0,0.001,0.254,0,0.001,0.001,0,0,0,0.096,0,0.004,0,0
t,0.001,0.062,0.002,0.049,0.037,0,0.084,0.033,0.01,0.224,0.04,0.033,0.234,0.029,0.006,0.025,0.02,0.001,0.004,0,0,0,0.022,0,0.023,0,0
l,0,0.053,0.173,0.017,0.12,0.001,0.031,0.041,0.104,0.126,0.006,0.008,0.002,0.004,0.133,0.029,0.028,0.002,0.033,0,0,0,0.051,0.056,0.012,0.188,0
o,0.092,0.001,0.239,0.068,0.014,0.07,0.007,0.001,0.179,0.026,0.062,0.004,0.028,0.058,0.046,0,0.244,0.133,0.05,0.2,0,0.28,0.04,0.154,0.06,0.063,0
c,0,0.016,0,0.019,0.073,0.001,0.017,0.026,0,0.017,0.012,0.048,0.043,0.005,0.001,0.014,0.017,0,0.004,0,0,0,0,0.002,0.007,0,0
h,0,0.001,0,0.001,0.009,0.004,0.001,0.004,0.029,0,0.001,0.008,0.002,0.006,0.008,0.002,0.202,0,0,0,0,0,0,0,0,0,0.2
z,0,0.007,0,0,0,0,0,0.001,0,0.001,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0
v,0,0.012,0,0.006,0.027,0,0.032,0.044,0,0.016,0.001,0.001,0.011,0.001,0,0.009,0,0,0.111,0,0,0,0,0,0.005,0,0
q,0,0.002,0,0.005,0.036,0,0.001,0.003,0,0.011,0.011,0.007,0.005,0.002,0.01,0.003,0.001,0,0.001,0,0,0,0,0,0.001,0,0
j,0,0.001,0.003,0,0.015,0,0.005,0.002,0,0,0.001,0.002,0.001,0.001,0,0,0,0,0.001,0,0,0,0,0,0,0,0
g,0,0.003,0,0.01,0.011,0,0.006,0.02,0,0.017,0.001,0.001,0.023,0,0.001,0.003,0,0,0,0,0,0,0,0,0.008,0,0
f,0,0.005,0,0.002,0.03,0,0.006,0.006,0,0.005,0.002,0.002,0.013,0,0.001,0.004,0,0,0,0,0,0,0.001,0.092,0,0,0
y,0.001,0,0.003,0.007,0.004,0.002,0.003,0.005,0.001,0,0.002,0.002,0.003,0.001,0.002,0.012,0,0.007,0.004,0,0,0.011,0,0,0,0,0
k,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
w,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
