letters, ,s,i,d,e,l,a,n,g,r,c,k,h,p,f,u,b,o,t,w,z,m,v,j,q,x
 ,0.056,0.212,0.018,0.217,0.217,0.143,0.032,0.405,0.149,0.355,0,0.06,0.212,0.022,0.227,0.086,0.092,0.108,0.267,0,0.079,0.275,0.001,0,0,0.4
s,0.136,0.026,0.033,0.038,0.056,0.064,0.08,0.026,0.031,0.05,0,0.007,0.019,0.009,0.013,0.074,0.033,0.028,0.022,0,0.001,0.012,0,0,0,0
i,0.042,0.215,0,0.142,0.104,0.13,0,0.038,0.025,0.045,0,0.012,0.058,0.081,0.036,0,0.067,0.004,0.053,0.219,0.088,0.109,0.183,0,0,0
d,0.127,0.002,0.03,0.002,0.014,0.023,0.008,0.157,0.006,0.046,0,0.004,0.005,0.001,0.007,0.003,0.002,0.018,0.006,0,0.003,0.005,0,0,0,0.2
e,0.063,0.135,0.308,0.341,0.005,0.17,0,0.089,0.495,0.108,0,0.162,0.181,0.177,0.225,0.022,0.504,0.001,0.374,0.245,0.193,0.192,0.31,0.364,0,0
l,0.018,0.002,0.024,0.008,0.038,0.152,0.111,0.003,0.028,0.017,0,0.086,0.051,0.072,0.041,0.007,0.084,0.09,0.009,0,0.012,0.009,0,0,0,0
a,0.068,0.042,0,0.166,0.002,0.081,0.005,0.032,0.087,0.063,0,0.149,0.104,0.108,0.064,0,0.044,0.001,0.053,0.283,0.011,0.094,0.008,0.44,0,0
n,0.038,0.002,0.211,0.002,0.235,0.011,0.168,0.057,0.005,0.041,0,0.026,0.03,0,0.01,0.345,0.001,0.139,0.002,0,0.001,0.001,0,0,0,0
g,0.048,0.005,0.042,0.001,0.02,0.007,0.042,0.049,0.004,0.023,0,0.002,0.004,0,0.014,0.032,0.008,0.021,0.004,0,0.001,0.005,0,0,0,0
r,0.011,0.002,0.029,0.022,0.179,0,0.096,0.002,0.062,0.007,0,0.059,0.08,0.103,0.09,0.057,0.06,0.159,0.026,0,0,0.002,0,0,0,0
c,0,0.096,0.143,0.001,0.007,0.008,0.049,0,0,0.01,0,0.015,0,0,0,0.063,0.001,0.098,0,0,0.001,0,0,0,0,0
k,0.036,0.002,0.001,0.001,0.007,0.01,0.01,0.013,0.005,0.016,0.104,0.002,0.002,0,0.003,0.004,0.003,0,0.001,0,0,0.007,0,0,0,0
h,0.052,0.004,0.042,0.002,0.028,0.002,0.027,0.006,0.002,0.009,0.896,0,0.003,0.009,0.006,0.025,0.006,0.043,0.005,0,0.002,0.023,0,0,0,0
p,0.008,0.019,0.001,0.001,0.001,0.003,0.001,0.002,0,0.001,0,0.001,0,0.055,0.001,0.006,0,0.015,0,0,0,0.012,0,0,0,0
f,0.021,0.002,0.005,0.001,0.006,0.003,0.009,0.006,0.002,0.007,0,0.002,0.001,0.25,0.04,0.108,0,0.02,0.002,0,0.001,0.002,0,0,0,0
u,0.054,0.006,0,0.024,0.009,0.017,0.169,0.02,0.033,0.029,0,0.048,0.007,0.024,0.021,0,0.021,0,0.015,0.051,0.441,0.047,0,0.056,1,0
b,0.032,0.002,0.006,0.001,0.014,0.028,0.061,0.006,0.002,0.013,0,0.003,0.001,0.001,0.003,0.011,0.002,0.07,0.004,0,0,0.003,0,0,0,0
o,0.008,0.068,0,0.021,0,0.028,0,0.014,0.002,0.031,0,0.174,0.05,0.022,0.027,0,0.016,0.007,0.005,0.129,0.021,0.021,0.496,0.128,0,0
t,0.013,0.147,0.069,0.001,0.022,0.083,0.047,0.033,0.053,0.055,0,0.049,0.115,0.028,0.067,0.058,0.019,0.015,0.073,0,0.084,0.016,0,0,0,0.4
w,0.066,0.004,0,0.002,0.008,0.002,0,0.006,0.003,0.011,0,0.005,0.014,0,0.003,0.001,0.005,0.002,0.016,0,0.034,0.004,0,0,0,0
z,0.03,0.002,0,0,0.001,0.006,0.001,0.018,0.002,0.011,0,0.001,0.002,0,0.009,0.001,0.002,0.001,0.035,0,0,0.003,0,0,0,0
m,0.032,0.002,0.031,0.001,0.022,0.003,0.047,0.007,0,0.011,0,0.001,0.018,0,0.001,0.066,0.001,0.072,0.003,0,0.001,0.125,0,0,0,0
v,0.022,0.003,0,0.001,0,0.001,0.002,0.002,0.001,0.003,0,0,0.001,0,0.001,0.002,0,0.002,0.001,0,0,0.001,0,0,0,0
j,0.012,0,0,0,0.001,0.001,0,0.001,0,0.001,0,0.043,0.001,0,0.001,0,0,0,0.002,0,0,0.001,0,0,0,0
ì,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
q,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
