letters,a,n,i,p,o,u,l,w,h,e, ,m,k
a,0.015,0.587,0.174,0.5,0.03,0.187,0.51,0.714,0.232,0.062,0.149,0.687,0.41
n,0.067,0,0.072,0.001,0.071,0.043,0,0,0,0.031,0.059,0,0
i,0.094,0.025,0.014,0.074,0.06,0.021,0.079,0.137,0.179,0.073,0.146,0.017,0.063
p,0.009,0,0.009,0,0.015,0.012,0.005,0,0,0.021,0.029,0,0
o,0.013,0.162,0.023,0.201,0.042,0.004,0.13,0,0.374,0.004,0.092,0.049,0.188
u,0.063,0.048,0.004,0.081,0.111,0.023,0.064,0,0.045,0.003,0.012,0.03,0.182
l,0.032,0,0.033,0,0.072,0.034,0.005,0,0,0.09,0.079,0,0
w,0.013,0,0.009,0,0.006,0.02,0,0.001,0,0.011,0.013,0,0
h,0.042,0,0.04,0,0.036,0.015,0,0.001,0,0.025,0.076,0,0
e,0.013,0.142,0.014,0.127,0.057,0.005,0.171,0.121,0.134,0.009,0.037,0.217,0.154
 ,0.487,0,0.448,0,0.389,0.57,0,0,0,0.523,0.029,0,0.003
m,0.019,0,0.017,0,0.017,0.014,0,0,0,0.011,0.107,0,0
k,0.093,0.005,0.094,0,0.034,0.041,0,0.001,0,0.021,0.148,0,0
