letters,l,a, ,m,i,f,n,c,u,e,z,b,r,g,d,s,t,o,v,h,p,q,j,x,y,k
l,0.162,0.075,0.067,0,0.058,0.016,0,0.004,0.044,0.082,0,0.016,0.013,0.211,0,0.001,0,0.078,0,0.001,0.015,0,0,0,0.25,0
a,0.211,0.003,0.081,0.213,0.071,0.194,0.096,0.111,0.131,0.01,0.367,0.146,0.203,0.059,0.128,0.098,0.204,0.005,0.351,0.011,0.174,0,0,0.05,0,0
 ,0.118,0.376,0.017,0,0.286,0,0.137,0,0.013,0.346,0,0,0.054,0,0.028,0,0,0.39,0,0.018,0,0,0,0,0.5,0
m,0.008,0.037,0.081,0.035,0.044,0,0.001,0,0.02,0.023,0,0,0.028,0.001,0,0.006,0,0.045,0,0,0,0,0,0,0,0
i,0.118,0.016,0.066,0.304,0.004,0.227,0.07,0.122,0.067,0.02,0.357,0.253,0.163,0.226,0.33,0.148,0.123,0.015,0.126,0.216,0.146,0,0,0.4,0,0
f,0.001,0.006,0.033,0,0.008,0.1,0.012,0,0.004,0.003,0,0,0.002,0,0,0.008,0,0.008,0,0,0,0,0,0.05,0,0
n,0,0.104,0.043,0,0.11,0,0.023,0,0.248,0.114,0,0,0.022,0.115,0,0,0,0.143,0,0,0,0,0,0,0,0
c,0.02,0.026,0.091,0,0.044,0,0.04,0.077,0.012,0.015,0,0,0.014,0,0,0.067,0,0.026,0,0,0,0,0,0,0,0
u,0.029,0.004,0.032,0.011,0.012,0.065,0.02,0.05,0,0.001,0.006,0.032,0.007,0.072,0.032,0.072,0.054,0.001,0.008,0,0.034,1,0,0,0,0
e,0.133,0.005,0.055,0.199,0.034,0.126,0.109,0.103,0.095,0.003,0.048,0.154,0.239,0.104,0.253,0.156,0.185,0.004,0.245,0.634,0.234,0,1,0,0,0
z,0.002,0.012,0,0,0.005,0,0.042,0,0.004,0.009,0.167,0,0.005,0,0,0,0,0.002,0,0,0,0,0,0,0,0
b,0.001,0.012,0.015,0.033,0.009,0,0,0,0.01,0.007,0,0.166,0.004,0,0,0.001,0,0.003,0,0,0,0,0,0,0,0
r,0.001,0.076,0.025,0,0.022,0.101,0.001,0.03,0.069,0.148,0,0.125,0.026,0.06,0.024,0,0.1,0.111,0.022,0,0.174,0,0,0,0,0
g,0.005,0.017,0.02,0,0.021,0,0.018,0,0.013,0.025,0,0,0.01,0.083,0,0.004,0,0.02,0,0,0,0,0,0.05,0,0
d,0.002,0.022,0.104,0,0.02,0,0.069,0,0.017,0.024,0,0,0.019,0,0.006,0,0,0.011,0,0,0,0,0,0,0,0
s,0.004,0.04,0.098,0,0.047,0,0.028,0,0.041,0.071,0,0.001,0.033,0,0,0.11,0,0.06,0,0,0.001,0,0,0,0,0
t,0.045,0.067,0.029,0,0.051,0,0.161,0,0.097,0.029,0,0,0.039,0,0,0.138,0.109,0.024,0,0,0,0,0,0.05,0,0
o,0.069,0.001,0.017,0.103,0.097,0.169,0.148,0.284,0.091,0.002,0.048,0.104,0.099,0.054,0.154,0.117,0.193,0.001,0.22,0.01,0.173,0,0,0,0.25,0
v,0.004,0.079,0.028,0,0.03,0,0.009,0,0.001,0.058,0,0,0.009,0,0,0.005,0,0.028,0.024,0,0,0,0,0.2,0,0
h,0,0.001,0.001,0,0,0,0,0.214,0,0,0,0,0,0.014,0,0,0,0.001,0,0,0,0,0,0,0,0
p,0.003,0.017,0.076,0.081,0.009,0,0.001,0,0.018,0.008,0,0,0.004,0,0,0.046,0,0.02,0,0,0.046,0,0,0.05,0,0
q,0.001,0.001,0.02,0,0.001,0,0.005,0.002,0,0.002,0,0,0,0,0,0.001,0,0.001,0,0,0,0,0,0,0,0
j,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0
y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
