letters,e,l, ,i,n,g,o,s,h,d,a,q,u,j,t,m,c,y,r,b,ç,f,v,p,z,x,w
e,0.004,0.145,0.089,0.162,0.047,0.047,0.004,0.136,0.11,0.391,0.004,0,0.473,0.135,0.248,0.226,0.117,0.03,0.154,0.12,0.007,0.154,0.337,0.16,0.001,0.016,0
l,0.08,0.104,0.087,0.034,0.003,0.011,0.024,0.003,0,0,0.078,0,0.019,0,0,0,0.008,0.004,0.015,0.068,0.018,0.024,0,0.031,0.001,0.053,0
 ,0.324,0.179,0.006,0.066,0.297,0,0.395,0.373,0.01,0.035,0.322,0,0.043,0,0.001,0,0,0.739,0.176,0,0.181,0,0.001,0,0.126,0.111,0
i,0.002,0.041,0.006,0.001,0.034,0.045,0.001,0.063,0.083,0.123,0.003,0,0.077,0.007,0.084,0.154,0.155,0,0.063,0.123,0.027,0.196,0.275,0.052,0,0.13,0
n,0.153,0,0.03,0.104,0.001,0.014,0.118,0.003,0,0,0.111,0,0.102,0,0,0,0,0.002,0.013,0,0.178,0,0,0,0.008,0,0
g,0.015,0.017,0.01,0.039,0.018,0,0.003,0.002,0,0,0.009,0,0.006,0,0,0,0,0.001,0.005,0,0.019,0,0,0,0.014,0,0
o,0.004,0.152,0.015,0.055,0.125,0.226,0.001,0.052,0.283,0.248,0.001,0,0.001,0.541,0.211,0.189,0.26,0.107,0.131,0.055,0.024,0.064,0.132,0.299,0.212,0.005,0
s,0.149,0.002,0.079,0.064,0.023,0,0.17,0.002,0,0,0.109,0,0.042,0,0,0,0,0.003,0.016,0.001,0.353,0,0,0,0,0,0
h,0.002,0.001,0.032,0,0.001,0,0.003,0.002,0,0,0.004,0,0,0,0,0,0.107,0.002,0,0,0.002,0,0,0,0,0.003,0
d,0.023,0.009,0.115,0.065,0.109,0,0.03,0.006,0,0,0.067,0,0.027,0,0,0,0,0.007,0.026,0,0.01,0,0,0,0.001,0,0
a,0.01,0.26,0.078,0.054,0.072,0.233,0.003,0.089,0.458,0.13,0.002,0,0.044,0.195,0.229,0.183,0.182,0.064,0.21,0.298,0.014,0.169,0.135,0.23,0.46,0.05,1
q,0.002,0.001,0.072,0.002,0.008,0,0.003,0.003,0,0,0.011,0,0.006,0,0,0,0,0.002,0.015,0,0.007,0,0,0,0.005,0,0
u,0,0.018,0.011,0.002,0.011,0.222,0,0.055,0.039,0.021,0.008,1,0,0.091,0.047,0.071,0.107,0.006,0.009,0.074,0.001,0.286,0.091,0.109,0.006,0,0
j,0.009,0,0.003,0.06,0.001,0,0.004,0,0,0,0.006,0,0.006,0,0,0,0,0,0.001,0,0.002,0,0,0,0,0,0
t,0.011,0.014,0.039,0.025,0.142,0,0.033,0.113,0,0,0.014,0,0.006,0,0,0,0.003,0.003,0.037,0,0.02,0,0,0.002,0.001,0.056,0
m,0.016,0.01,0.055,0.039,0.003,0,0.039,0.009,0,0.004,0.031,0,0.011,0,0,0,0,0.004,0.023,0,0.017,0,0,0,0.003,0.019,0
c,0.028,0.009,0.068,0.056,0.064,0,0.023,0.025,0,0,0.029,0,0.025,0,0,0,0.001,0.006,0.019,0,0.016,0,0,0,0.037,0.164,0
y,0.003,0,0.057,0,0,0,0.008,0.002,0,0,0.009,0,0.013,0,0,0,0,0.001,0,0,0.003,0,0,0,0.001,0,0
r,0.123,0.001,0.018,0.055,0.003,0.132,0.101,0.001,0,0.018,0.092,0,0.041,0,0.139,0,0.028,0.002,0.024,0.177,0.047,0.086,0,0.104,0,0,0
b,0.006,0.003,0.014,0.019,0,0,0.014,0.001,0,0,0.053,0,0.011,0,0,0.038,0,0.001,0.006,0,0.031,0,0,0,0.001,0,0
ç,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f,0.002,0.001,0.013,0.005,0.006,0,0.003,0.002,0,0,0.002,0,0.001,0,0,0,0,0.001,0.001,0,0.001,0,0,0,0,0,0
v,0.008,0.011,0.028,0.01,0.005,0,0.004,0.002,0,0.001,0.007,0,0.008,0,0,0,0,0.002,0.005,0,0.01,0,0,0,0,0.074,0
p,0.006,0.003,0.065,0.005,0.002,0,0.006,0.033,0,0,0.01,0,0.005,0,0,0.052,0,0.005,0.004,0,0.008,0,0,0,0.001,0.146,0
z,0.007,0.002,0.001,0.008,0.011,0,0.003,0,0,0,0.008,0,0.003,0,0,0,0,0,0.003,0,0.002,0,0,0,0,0,0
x,0.001,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.172,0
w,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
