letters,k,l,o,c,a,n, ,i,h,r,e,t,s,g,f,m,d,u,j,v,p,b,y,x,w,q
k,0,0.008,0.006,0.355,0.018,0.018,0.028,0.037,0.001,0.023,0.009,0.002,0.104,0.001,0.002,0.007,0.001,0.021,0.01,0,0,0,0.024,0,0,0
l,0.042,0.217,0.03,0,0.062,0.005,0.032,0.11,0.002,0.017,0.038,0.005,0.03,0.029,0.042,0.017,0.007,0.093,0.011,0,0.042,0.23,0.054,0.152,0,0
o,0.084,0.031,0.001,0,0.001,0.028,0.074,0.003,0.096,0.035,0.001,0.034,0.1,0.064,0.04,0.048,0.013,0,0.102,0.021,0.022,0.085,0,0.015,0,0
c,0,0,0.283,0,0.005,0,0,0.065,0,0,0.001,0,0,0,0,0,0,0.006,0,0,0,0,0.24,0,0,0
a,0.205,0.124,0.002,0,0,0.082,0.048,0.002,0.27,0.117,0.001,0.087,0.065,0.123,0.079,0.142,0.07,0,0.292,0.435,0.119,0.161,0.044,0.121,0,0
n,0.028,0.007,0.108,0,0.212,0.06,0.027,0.206,0.001,0.043,0.249,0.008,0.012,0.03,0.003,0.015,0.003,0.197,0.001,0,0.018,0,0.068,0.03,0,0
 ,0.079,0.094,0.031,0,0.196,0.37,0.018,0.123,0.284,0.32,0.25,0.409,0.127,0.3,0.124,0.292,0.148,0.164,0.031,0,0.08,0.003,0.084,0.136,0,0
i,0.011,0.117,0,0.001,0,0.026,0.05,0.001,0.012,0.047,0.001,0.071,0.1,0.023,0.034,0.046,0.027,0.001,0,0.21,0.019,0.03,0,0.136,1,0
h,0.005,0.003,0.001,0.643,0.002,0.005,0.101,0.005,0.003,0.006,0.006,0.005,0.003,0.019,0.001,0.006,0.009,0.001,0.002,0,0.007,0.001,0.001,0,0,0
r,0.057,0.003,0.124,0,0.169,0.002,0.017,0.012,0,0.021,0.111,0.038,0.002,0.048,0.089,0.003,0.039,0.072,0,0.003,0.063,0.139,0.076,0,0,0
e,0.16,0.09,0.002,0.001,0.001,0.041,0.03,0.012,0.095,0.071,0.002,0.1,0.06,0.139,0.008,0.187,0.52,0.001,0.048,0.153,0.088,0.134,0.006,0.152,0,0
t,0.113,0.045,0.049,0,0.079,0.041,0.038,0.073,0.002,0.041,0.173,0.13,0.193,0.068,0.059,0.022,0.026,0.122,0.006,0,0.031,0.004,0.077,0.182,0,0
s,0.036,0.029,0.016,0,0.03,0.052,0.129,0.052,0.004,0.036,0.034,0.023,0.039,0.022,0.012,0.01,0.011,0.094,0.005,0,0.012,0.001,0.129,0,0,0
g,0,0.002,0.033,0,0.042,0.084,0.026,0.192,0.002,0.009,0.011,0.002,0.001,0.023,0.008,0.002,0.001,0.032,0,0,0.002,0,0.061,0,0,0
f,0.002,0.026,0.023,0,0.036,0.006,0.061,0.026,0.002,0.012,0.02,0.006,0.003,0.004,0.008,0.006,0.003,0.031,0,0,0.008,0,0.022,0.045,0,0
m,0.001,0.005,0.224,0,0.031,0.002,0.056,0.008,0.002,0.012,0.021,0.003,0.01,0.002,0.002,0.071,0.003,0.026,0,0,0.004,0,0.04,0,0,0
d,0.001,0.043,0.042,0,0.097,0.097,0.091,0.059,0.002,0.039,0.056,0.003,0.002,0.016,0.012,0.011,0.018,0.032,0.053,0,0.002,0,0.049,0,0,0
u,0.087,0.023,0.001,0,0.001,0.024,0.017,0.001,0.043,0.023,0.001,0.009,0.004,0.009,0.018,0.014,0.022,0,0.201,0.017,0.009,0.021,0,0,0,0
j,0.002,0.018,0.001,0,0,0.001,0.012,0,0.007,0.006,0.004,0.003,0.02,0.015,0.003,0.003,0.009,0,0,0,0.002,0.017,0,0,0,0
v,0.016,0.004,0.004,0,0.001,0.004,0.053,0.001,0.072,0.006,0.003,0.006,0.02,0.002,0.139,0.002,0.004,0.003,0,0,0.001,0,0.002,0,0,1
p,0,0.003,0.017,0,0.008,0.001,0.02,0.005,0,0.002,0.003,0.001,0.015,0,0.001,0.009,0,0.085,0,0,0.203,0,0.014,0.03,0,0
b,0.001,0.006,0.004,0,0.005,0.003,0.039,0.003,0.002,0.009,0.002,0.002,0.004,0.002,0,0.004,0.001,0.011,0,0,0.001,0.031,0.002,0,0,0
y,0.017,0.019,0,0,0,0.007,0.001,0,0.001,0.013,0,0.017,0.005,0.001,0.006,0.016,0.004,0,0,0,0,0.026,0,0,0,0
x,0,0,0,0,0.001,0,0,0.001,0,0,0,0,0,0,0,0,0,0.004,0,0,0,0,0.005,0,0,0
w,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
q,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
